[raw_daily / RAW]
datetime,open,high,low,close,volume
[/raw_daily / RAW]
[updown_bb / WAVE_S]
datetime,open,high,low,close,volume,upbb_u,upbb_m,upbb_l,rsi,stoch
2026-05-30 19:12,112460,112460,108240,108240,285693,127313.49,116109.57,108767.02,35.25,14.14
2026-05-31 09:36,108240,108240,104020,104020,285693,123521.38,114952.42,107919.88,30.71,7.78
2026-06-01 00:00,104020,104020,100000,100200,285693,122793.46,114075.96,105233.52,26.17,4.07
2026-06-01 04:48,118500,118500,110320,110320,245698.2,121875.75,113199.51,103497.26,26.17,5.37
2026-06-01 09:36,110320,110320,102140,102140,245698.2,120418.1,112522.13,102637.28,37.81,27.57
2026-06-01 14:24,102140,102140,93960,93960,245698.2,119607.99,111695.87,99851.93,30.95,24.41
2026-06-01 19:12,93960,96220,91000,96220,245698.2,120552.93,110569.86,96133.08,24.33,16.58
2026-06-02 00:00,96220,104400,96220,104400,245698.2,121586.44,109433.26,93514.34,24.23,14.02
2026-06-02 09:36,100300,100300,91000,91440,197789.8,121016.13,107937.58,91107.64,22.91,8.82
2026-06-02 19:12,91440,101180,91440,101180,197789.8,119840.83,106271.69,89724.25,21.73,10.55
2026-06-03 04:48,101180,110920,101180,110920,197789.8,117668.08,104756.18,89012.07,21.73,12.52
2026-06-03 14:24,110920,120660,110920,120660,197789.8,116832.68,104043.2,89457.07,39.71,31.63
2026-06-04 00:00,120660,121900,113400,113400,197789.8,118303.61,104361.96,89640.66,54.93,65.18
2026-06-04 04:48,106000,115640,106000,115640,214801.8,119324.24,104723.77,89200.71,55.69,82.59
2026-06-04 09:36,115640,121900,115640,118520,214801.8,121049.36,104898.56,88894.12,58.42,91.3
2026-06-04 14:24,118520,118520,108880,108880,214801.8,122811.92,105625.75,87823.72,60.67,95.65
2026-06-04 19:12,108880,108880,99240,99240,214801.8,124516.67,106928.89,88507.58,60.67,97.82
2026-06-05 00:00,99240,103000,96300,103000,214801.8,124487.42,107967.03,89331.97,52.93,91.11
2026-06-05 14:24,100000,100000,92240,92240,138621,123788.73,108579.67,90294.02,41.22,72.12
2026-06-06 04:48,92240,93520,89000,93520,138621,122885.07,109058.69,90660.55,37.14,51.86
2026-06-06 19:12,93520,101280,93520,101280,138621,124139.33,109054.46,91037.66,30.56,30.33
2026-06-07 09:36,101280,108400,101280,107760,138621,124437.8,108574.96,90199.68,32.1,21.2
2026-06-08 00:00,107760,107760,100000,100000,138621,123616.92,107748.01,89538.28,41.33,27.04
2026-06-08 04:48,91200,93540,89000,93540,187015.8,122455.99,106878.01,88450.85,41.33,29.96
2026-06-08 09:36,93540,100280,93540,100280,187015.8,120595.46,105355.27,87897.61,33.4,16.71
2026-06-08 14:24,100280,107020,100280,107020,187015.8,117418.05,103825.26,89463.56,36.59,13.56
2026-06-08 19:12,107020,113760,107020,113760,187015.8,113336.42,102644.36,91180.82,45.18,25.17
2026-06-09 00:00,113760,117800,113760,115100,187015.8,112362.7,102214.89,91165.12,54.51,62.59
2026-06-09 04:48,108000,111860,106200,111860,257315.6,113405.13,102643.85,88987.16,59.45,81.29
2026-06-09 09:36,111860,119320,111860,119320,257315.6,116085.27,103347.24,88606.79,59.89,90.65
2026-06-09 14:24,119320,125600,119320,124420,257315.6,119793.43,104901.29,88480.3,65.39,95.32
2026-06-09 19:12,124420,124420,116960,116960,257315.6,123402.65,106763.22,88172.65,69.93,97.66
2026-06-10 00:00,116960,116960,109500,109500,257315.6,126090.36,108269.64,88380.24,69.93,98.83
2026-06-10 04:48,114800,114800,106400,106980,480578.2,127405.77,109569.88,90587.55,64.05,94.39
2026-06-10 09:36,106980,115960,106980,115960,480578.2,126349.43,111123.87,93658.43,57.57,85.84
2026-06-10 14:24,115960,124940,115960,124940,480578.2,125548.68,112559.2,97860.79,57.57,78.75
2026-06-10 19:12,124940,133920,124940,133920,480578.2,127130.6,114160.68,101914.83,66.29,89.37
2026-06-11 00:00,133920,138100,133300,133300,480578.2,130915.66,115948.37,103432.38,73.94,94.69
[/updown_bb / WAVE_S]
[updown_bb / WAVE_M]
datetime,open,high,low,close,volume,upbb_u,upbb_m,upbb_l,rsi,stoch
2026-04-21 00,81333.333,82400,79400,79400,224857,81002.55,74957.19,66447.89,92.22,99.97
2026-04-21 08,80500,80500,77600,79400,379718.666666667,81845.75,75830.08,68146.52,92.3,99.99
2026-04-21 16,79400,84100,79400,84100,379718.666666667,82873.77,76503.81,69147.53,92.55,99.99
2026-04-22 00,84100,87700,84100,86600,379718.666666667,84539.18,77380.36,70585.93,94.27,100
2026-04-22 08,81000,81000,78200,80500,280371,85765.8,78186.35,71702.34,94.73,100
2026-04-22 16,80500,85600,80500,85600,280371,86302.95,78902.58,72360.5,94.73,100
2026-04-23 00,85600,87700,84700,84700,280371,87139.18,79769.11,73347.32,95.72,100
2026-04-23 08,86600,86600,81600,81700,242651.666666667,87861.17,80531.54,73969.7,95.93,100
2026-04-23 16,81700,86800,81700,86800,242651.666666667,88189.41,81264.04,74570.48,96.15,100
2026-04-24 00,86800,90400,86800,88900,242651.666666667,89001.66,82022.8,75596.18,96.29,100
2026-04-25 00,85200,85466.667,83000,85466.667,210672.666666667,89586.15,82717.82,76285.63,96.87,100
2026-04-26 00,85466.667,90133.333,85466.667,90133.333,210672.666666667,89702.06,83404.88,76843.04,96.87,100
2026-04-27 00,90133.333,90400,86000,86000,210672.666666667,90039.89,84207.39,77620.61,97.45,100
2026-04-27 08,88900,89400,86433.333,86433.333,216974.333333333,90588.16,84807.09,78324.26,97.45,100
2026-04-27 16,86433.333,86433.333,83000,83033.333,216974.333333333,90882.11,85315.49,78993.78,94.11,98.24
2026-04-28 00,83033.333,86500,83033.333,86500,216974.333333333,90438.15,85689.9,79986.3,76.38,81.31
2026-04-28 08,86400,86400,83800,84366.667,222159.666666667,90213.05,85903.55,81093.25,76.38,72.84
2026-04-28 16,84366.667,87533.333,84366.667,87533.333,222159.666666667,89977.62,86082.11,81552.8,76.61,68.59
2026-04-29 00,87533.333,90000,87533.333,89300,222159.666666667,89748.45,86255.98,82179.6,78.12,62.5
